Customer ID,Total Output Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun
PK01000129342001,59136.5,59151.95,59191.88,59215.81,59236.63,59254.52,59293.3,59304.3,59341.58,59354.63,59390.87,59416.58,59439.97,59443.71,59473.64,59501.64,59527.96,59568.84,59595.32,59623.71,59627.58,59680.03,59707.22,59734.08,59757.47,59782.38,59805.51,59816.71,59855.87,59873.53
PK01000129388001,39589.64,39600.81,39613.03,39625.13,39635.39,39645.52,39655.81,39666.36,39676.76,39687.06,39697.47,39707.91,39717.55,39728.35,39739.83,39750.82,39761.48,39771.85,39783.03,39793.18,39805.04,39816.57,39827.87,39838.8,39848.6,39858.9,39869.47,39878.81,39888.13,39897.64
PK01000129509001,3406740,3408652.8,3410696,3412842.4,3414475.2,3416029.6,3417654.4,3419299.2,3420924,3422609.6,3424458.4,3426125.6,3427640.8,3429424.8,3431327.2,3433156.8,3434832,3436600.8,3438415.2,3440417.6,3442363.2,3444319.2,3446108.8,3447984.8,3449675.2,3451441.6,3453292,3455050.4,3456715.2,3458328
PK01000129605001,38166.64,38183.37,38200.29,38217.75,38232.76,38247.45,38262.42,38277.75,38292.99,38308.28,38323.98,38339.75,38354.12,38370.19,38387.05,38403.41,38418.93,38433.64,38449.7,38467.38,38485.19,38501.41,38517.29,38532.94,38547.03,38561.7,38577.54,38592.75,38607.35,38621.76
PK01000129607001,533359.2,541291.2,549386.4,556996.8,563748,570436.8,577130.4,584040,590848.8,597960,604618.8,611546.4,617956.8,625390.8,633500.4,641034,647983.2,654344.4,661800,670017.6,677982,685856.4,693204,700324.8,706899.6,713821.2,721053.6,727910.4,734534.4,741049.2
PK01000130058001,48725.57,48741.28,48757.7,48775.04,48789.22,48802.65,48816.31,48830.28,48844.31,48859.33,48874.56,48889.04,48901.94,48916.38,48931.29,48946.55,48961.03,48974.62,48989.36,49006.27,49022.92,49039.24,49055.18,49071.58,49086.39,49100.69,49116.07,49130.6,49144.95,49158.88
PK01000130177001,2842862,2846158,2849208,2852150,2855318,2858410,2861490,2864640,2867836,2870686,2873336,2876508,2879514,2882724,2886130,2889556,2892360,2895004,2898164,2901692,2905216,2908586,2911830,2914682,2917132,2920252,2923424,2926390,2929354,2932206
PK01000130490001,198570,201541.2,204445.2,207325.2,209841.6,212397.6,214866,217286.4,219703.2,222213.6,224725.2,227398.8,229846.8,232574.4,235411.2,238308,241008,243520.8,246330,249249.6,252093.6,255043.2,257925.6,260624.4,263055.6,265604.4,268190.4,270625.2,273072,275422.8
PK01000130729001,48461.86,48486,48513.03,48540.61,48562.97,48583.63,48604.88,48626.9,48648.94,48671.83,48697.25,48719.76,48741.1,48764.88,48790.59,48816.22,48839.92,48863.05,48887.92,48914.65,48940.71,48966.95,48991.71,49017.13,49041.79,49065.45,49090.03,49112.88,49134.2,49155.35
PK01000131066001,54394.77,54415.09,54436.1,54456.93,54475.01,54493.67,54512.58,54531.77,54549.89,54568.45,54587.84,54606.12,54625.46,54644.73,54664.88,54684.98,54704.33,54723.75,54743.62,54764.63,54785.83,54806.53,54826.97,54847.35,54866.18,54885.73,54905.72,54923.85,54941.96,54959.68
